ID,NOME,Tamanho,QTD,ESTOQUE,PREÇO DE COMPRA,% NA VENDA,VALOR FINAL,VALOR TOTAL CUSTOS,VALOR TOTAL,CREATED_AT
21,SOL LITORAL TOP ,,3,0,"R$ 23,00",40,"R$ 38,33","R$ 69,00","R$ 115,00",13/08/2022 15:00:00
23,SUSPENCORIO SOL LITORAL ,,2,2,"R$ 42,00",55,"R$ 93,33","R$ 84,00","R$ 186,67",13/08/2022 15:00:00
24,SOL CALCA L. BUMBUM COM BOLSO ,,2,2,"R$ 35,00",55,"R$ 77,78","R$ 70,00","R$ 155,56",13/08/2022 15:00:00
27,JR MODA CONJ EMPINA B. ,,2,1,"R$ 55,00",45,"R$ 100,00","R$ 110,00","R$ 200,00",13/08/2022 15:00:00
30,TRILHA DO CORPO CAMISETA MASCULINA ,,7,1,"R$ 15,00",60,"R$ 37,50","R$ 105,00","R$ 262,50",13/08/2022 15:00:00
31,RAIO DE SOL CONJ PLUS SAIS 3D ,,4,2,"R$ 75,00",50,"R$ 150,00","R$ 300,00","R$ 600,00",13/08/2022 15:00:00
32,RAIO DE SOL CALCA PLUS ,,1,0,"R$ 40,00",55,"R$ 88,89","R$ 40,00","R$ 88,89",13/08/2022 15:00:00
33,S/N MACACAO ,,2,0,"R$ 20,00",60,"R$ 50,00","R$ 40,00","R$ 100,00",13/08/2022 15:00:00
34,S/N CONJ,,1,0,"R$ 12,00",60,"R$ 30,00","R$ 12,00","R$ 30,00",13/08/2022 15:00:00
35,ALESSANDRA CONJ com bolso,,3,0,"R$ 15,00",60,"R$ 37,50","R$ 45,00","R$ 112,50",13/08/2022 15:00:00
36,DINDA SHORT MAIOR  ,,2,0,"R$ 10,00",60,"R$ 25,00","R$ 20,00","R$ 50,00",13/08/2022 15:00:00
37,DINDA SHORT MENOR ,,4,1,"R$ 7,00",70,"R$ 23,33","R$ 28,00","R$ 93,33",13/08/2022 15:00:00
38,MULTIMARCA SHORT MASCULINO ,,13,8,"R$ 9,00",60,"R$ 22,50","R$ 117,00","R$ 292,50",13/08/2022 15:00:00
39,MULTIMARCA SGORT MASC FINO ,,2,0,"R$ 7,00",70,"R$ 23,33","R$ 14,00","R$ 46,67",13/08/2022 15:00:00
40,FGA MODA TOP ,,4,2,"R$ 15,00",60,"R$ 37,50","R$ 60,00","R$ 150,00",13/08/2022 15:00:00
41,FGA MODA BLUSA ,,1,-2,"R$ 22,00",40,"R$ 36,67","R$ 22,00","R$ 36,67",13/08/2022 15:00:00
42,FGA TOP 3D ,,5,1,"R$ 17,00",60,"R$ 42,50","R$ 85,00","R$ 212,50",13/08/2022 15:00:00
44,FGA BLUSA D/N ,,2,1,"R$ 15,00",60,"R$ 37,50","R$ 30,00","R$ 75,00",13/08/2022 15:00:00
46,FGA SAIA DE COBRIR  ,,3,0,"R$ 8,00",60,"R$ 20,00","R$ 24,00","R$ 60,00",13/08/2022 15:00:00
47,SUPREME CONJ ,,3,1,"R$ 40,00",60,"R$ 100,00","R$ 120,00","R$ 300,00",13/08/2022 15:00:00
48,SUPREME LEGGING EMP. BUMBUM ,,5,2,"R$ 30,00",60,"R$ 75,00","R$ 150,00","R$ 375,00",13/08/2022 15:00:00
49,NEGA BELA SHORT 3D ,,5,2,"R$ 15,00",60,"R$ 37,50","R$ 75,00","R$ 187,50",13/08/2022 15:00:00
51,NEGA BELA LEGGENG COM LACINHO ,,4,0,"R$ 12,00",60,"R$ 30,00","R$ 48,00","R$ 120,00",13/08/2022 15:00:00
53,NEGA BELA ,,3,2,"R$ 10,00",65,"R$ 28,57","R$ 30,00","R$ 85,71",13/08/2022 15:00:00
54,IRISH MACAQUITOS ,,4,2,"R$ 55,00",50,"R$ 110,00","R$ 220,00","R$ 440,00",13/08/2022 15:00:00
55,IRISH MACACAO ,,1,1,"R$ 65,00",50,"R$ 130,00","R$ 65,00","R$ 130,00",13/08/2022 15:00:00
56,IRISH LEGGENG ,,1,-1,"R$ 35,00",55,"R$ 77,78","R$ 35,00","R$ 77,78",13/08/2022 15:00:00
57,IRISH SHORT ,,4,1,"R$ 25,00",40,"R$ 41,67","R$ 100,00","R$ 166,67",13/08/2022 15:00:00
61,LAFAETE CONJ AZUL Maria gueixa,,1,0,"R$ 27,00",60,"R$ 67,50","R$ 27,00","R$ 67,50",13/08/2022 15:00:00
62,LAFAETE MALHA SHORT WEYDJA,,1,1,"R$ 22,00",60,"R$ 55,00","R$ 22,00","R$ 55,00",13/08/2022 15:00:00
63,LAFAETE MALHA CALCA MAYARA ,,3,3,"R$ 27,00",60,"R$ 67,50","R$ 81,00","R$ 202,50",13/08/2022 15:00:00
64,LAFAETE MALHA CALCA WEYDJ ,,1,1,"R$ 27,00",60,"R$ 67,50","R$ 27,00","R$ 67,50",13/08/2022 15:00:00
65,LAFAETE CONJ CALCA TELA ,,2,0,"R$ 27,00",60,"R$ 67,50","R$ 54,00","R$ 135,00",13/08/2022 15:00:00
66,LAFAETE VEMELHO ,,3,0,"R$ 18,00",60,"R$ 45,00","R$ 54,00","R$ 135,00",13/08/2022 15:00:00
71,LAFAETE SHORT SAIA ,,2,1,"R$ 22,00",60,"R$ 55,00","R$ 44,00","R$ 110,00",13/08/2022 15:00:00
